id,dteday,season,year,mnth,hour,holiday,weekday,workingday,weather,temp,felt_temp,humidity,windspeed,casual,registered,total
4011,2011-06-21,Fall,2011,6,0,0,2,1,Tuesday,21.14,22.9994,78.0,11.0014,10,23,33
4012,2011-06-21,Fall,2011,6,1,0,2,1,Tuesday,21.14,22.9994,78.0,11.0014,2,12,14
4013,2011-06-21,Fall,2011,6,2,0,2,1,Tuesday,21.14,22.0028,83.0,11.0014,1,5,6
4014,2011-06-21,Fall,2011,6,3,0,2,1,Tuesday,21.14,22.0028,83.0,11.0014,0,2,2
4015,2011-06-21,Fall,2011,6,4,0,2,1,Tuesday,20.2,20.003,88.0,7.0015,2,7,9
4016,2011-06-21,Fall,2011,6,5,0,2,1,Tuesday,20.2,20.003,88.0,8.9981,3,22,25
4017,2011-06-21,Fall,2011,6,6,0,2,1,Tuesday,20.2,20.003,88.0,8.9981,8,107,115
4018,2011-06-21,Fall,2011,6,7,0,2,1,Tuesday,20.2,18.0032,94.0,0.0,21,288,309
4019,2011-06-21,Fall,2011,6,8,0,2,1,Tuesday,21.14,20.9996,88.0,7.0015,33,368,401
4020,2011-06-21,Fall,2011,6,9,0,2,1,Tuesday,21.14,20.9996,88.0,16.997899999999998,32,243,275
4021,2011-06-21,Fall,2011,6,10,0,2,1,Tuesday,22.080000000000002,22.0028,83.0,12.998000000000001,41,120,161
4022,2011-06-21,Fall,2011,6,11,0,2,1,Tuesday,23.020000000000003,24.0026,83.0,11.0014,52,119,171
4023,2011-06-21,Fall,2011,6,12,0,2,1,Tuesday,24.9,28.002199999999995,74.0,11.0014,40,149,189
4024,2011-06-21,Fall,2011,6,13,0,2,1,Tuesday,26.78,30.001999999999995,66.0,11.0014,49,158,207
4025,2011-06-21,Fall,2011,6,14,0,2,1,Tuesday,27.72,30.998599999999996,62.0,15.001299999999999,44,108,152
4026,2011-06-21,Fall,2011,6,15,0,2,1,Tuesday,28.660000000000004,32.9984,59.0,16.997899999999998,42,128,170
4027,2011-06-21,Fall,2011,6,16,0,2,1,Tuesday,29.6,34.998200000000004,59.0,15.001299999999999,62,273,335
4028,2011-06-21,Fall,2011,6,17,0,2,1,Tuesday,28.660000000000004,34.0016,66.0,15.001299999999999,65,507,572
4029,2011-06-21,Fall,2011,6,18,0,2,1,Tuesday,27.72,32.001799999999996,70.0,16.997899999999998,67,469,536
4030,2011-06-21,Fall,2011,6,19,0,2,1,Tuesday,26.78,30.998599999999996,74.0,15.001299999999999,67,358,425
4031,2011-06-21,Fall,2011,6,20,0,2,1,Tuesday,26.78,30.001999999999995,70.0,15.001299999999999,72,254,326
4032,2011-06-21,Fall,2011,6,21,0,2,1,Tuesday,25.839999999999996,30.001999999999995,74.0,12.998000000000001,38,191,229
4033,2011-06-21,Fall,2011,6,22,0,2,1,Tuesday,24.9,28.002199999999995,79.0,7.0015,12,97,109
4034,2011-06-21,Fall,2011,6,23,0,2,1,Tuesday,24.9,28.002199999999995,74.0,7.0015,11,53,64
4035,2011-06-22,Fall,2011,6,0,0,3,1,Wednesday,23.020000000000003,24.0026,78.0,12.998000000000001,15,18,33
4036,2011-06-22,Fall,2011,6,1,0,3,1,Wednesday,23.020000000000003,24.0026,78.0,8.9981,2,19,21
4037,2011-06-22,Fall,2011,6,2,0,3,1,Wednesday,23.020000000000003,24.0026,78.0,0.0,2,5,7
4038,2011-06-22,Fall,2011,6,3,0,3,1,Wednesday,23.020000000000003,24.0026,78.0,8.9981,0,7,7
4039,2011-06-22,Fall,2011,6,4,0,3,1,Wednesday,22.080000000000002,22.0028,83.0,0.0,3,8,11
4040,2011-06-22,Fall,2011,6,5,0,3,1,Wednesday,22.080000000000002,22.0028,89.0,0.0,2,21,23
4041,2011-06-22,Fall,2011,6,6,0,3,1,Wednesday,23.020000000000003,24.0026,83.0,0.0,12,110,122
4042,2011-06-22,Fall,2011,6,7,0,3,1,Wednesday,24.9,28.002199999999995,79.0,0.0,23,288,311
4043,2011-06-22,Fall,2011,6,8,0,3,1,Wednesday,25.839999999999996,30.001999999999995,74.0,7.0015,27,396,423
4044,2011-06-22,Fall,2011,6,9,0,3,1,Wednesday,25.839999999999996,30.001999999999995,79.0,11.0014,14,205,219
4045,2011-06-22,Fall,2011,6,10,0,3,1,Wednesday,26.78,30.001999999999995,70.0,16.997899999999998,31,104,135
4046,2011-06-22,Fall,2011,6,11,0,3,1,Wednesday,26.78,30.001999999999995,70.0,11.0014,37,108,145
4047,2011-06-22,Fall,2011,6,12,0,3,1,Wednesday,29.6,34.998200000000004,59.0,15.001299999999999,44,144,188
4048,2011-06-22,Fall,2011,6,13,0,3,1,Wednesday,30.54,36.001400000000004,56.00000000000001,16.997899999999998,34,113,147
4049,2011-06-22,Fall,2011,6,14,0,3,1,Wednesday,30.54,34.998200000000004,52.0,19.0012,32,113,145
4050,2011-06-22,Fall,2011,6,15,0,3,1,Wednesday,30.54,36.001400000000004,56.00000000000001,19.0012,32,114,146
4051,2011-06-22,Fall,2011,6,16,0,3,1,Wednesday,30.54,36.998000000000005,59.0,22.0028,34,224,258
4052,2011-06-22,Fall,2011,6,17,0,3,1,Wednesday,29.6,34.0016,55.00000000000001,26.0027,67,462,529
4053,2011-06-22,Fall,2011,6,18,0,3,1,Wednesday,29.6,34.998200000000004,59.0,16.997899999999998,66,447,513
4054,2011-06-22,Fall,2011,6,19,0,3,1,Wednesday,29.6,32.9984,52.0,16.997899999999998,62,280,342
4055,2011-06-22,Fall,2011,6,20,0,3,1,Wednesday,26.78,30.998599999999996,74.0,8.9981,52,230,282
4056,2011-06-22,Fall,2011,6,21,0,3,1,Wednesday,26.78,30.998599999999996,79.0,11.0014,31,216,247
4057,2011-06-22,Fall,2011,6,22,0,3,1,Wednesday,25.839999999999996,30.001999999999995,79.0,12.998000000000001,25,123,148
4058,2011-06-22,Fall,2011,6,23,0,3,1,Wednesday,25.839999999999996,30.001999999999995,79.0,15.001299999999999,14,91,105
4059,2011-06-23,Fall,2011,6,0,0,4,1,Thursday,25.839999999999996,30.001999999999995,79.0,15.001299999999999,5,44,49
4060,2011-06-23,Fall,2011,6,1,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,15.001299999999999,5,26,31
4061,2011-06-23,Fall,2011,6,2,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,15.001299999999999,0,4,4
4062,2011-06-23,Fall,2011,6,3,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,11.0014,1,4,5
4063,2011-06-23,Fall,2011,6,4,0,4,1,Thursday,24.9,28.002199999999995,79.0,8.9981,0,7,7
4064,2011-06-23,Fall,2011,6,5,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,11.0014,2,22,24
4065,2011-06-23,Fall,2011,6,6,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,11.0014,8,92,100
4066,2011-06-23,Fall,2011,6,7,0,4,1,Thursday,25.839999999999996,30.001999999999995,74.0,8.9981,26,301,327
4067,2011-06-23,Fall,2011,6,8,0,4,1,Thursday,26.78,30.001999999999995,70.0,12.998000000000001,20,412,432
4068,2011-06-23,Fall,2011,6,9,0,4,1,Thursday,26.78,30.001999999999995,70.0,8.9981,33,194,227
4069,2011-06-23,Fall,2011,6,10,0,4,1,Thursday,27.72,32.001799999999996,66.0,8.9981,39,88,127
4070,2011-06-23,Fall,2011,6,11,0,4,1,Thursday,27.72,32.001799999999996,66.0,16.997899999999998,28,108,136
4071,2011-06-23,Fall,2011,6,12,0,4,1,Thursday,27.72,32.001799999999996,66.0,19.0012,30,130,160
4072,2011-06-23,Fall,2011,6,13,0,4,1,Thursday,27.72,30.998599999999996,62.0,19.0012,37,149,186
4073,2011-06-23,Fall,2011,6,14,0,4,1,Thursday,27.72,32.001799999999996,66.0,19.999499999999998,46,103,149
4074,2011-06-23,Fall,2011,6,15,0,4,1,Thursday,27.72,30.001999999999995,52.0,23.9994,62,127,189
