id,dteday,season,yr,mnth,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total,felt_temp,humidity,year,weather
6251,2011-09-23,Winter,0,9,0,0,5,1,2,21.14,0.5455,0.94,6.0032,11,41,52,20.003,94.0,2011,Friday
6252,2011-09-23,Winter,0,9,1,0,5,1,2,20.2,0.5,1.0,0.0,2,29,31,17.0,100.0,2011,Friday
6253,2011-09-23,Winter,0,9,2,0,5,1,2,20.2,0.5,1.0,7.0015,6,14,20,17.0,100.0,2011,Friday
6254,2011-09-23,Winter,0,9,3,0,5,1,2,20.2,0.5,1.0,0.0,3,5,8,17.0,100.0,2011,Friday
6255,2011-09-23,Winter,0,9,4,0,5,1,3,20.2,0.5,1.0,0.0,6,7,13,17.0,100.0,2011,Friday
6256,2011-09-23,Winter,0,9,5,0,5,1,2,21.14,0.5455,0.94,0.0,2,20,22,20.003,94.0,2011,Friday
6257,2011-09-23,Winter,0,9,6,0,5,1,2,21.14,0.5455,0.94,6.0032,5,99,104,20.003,94.0,2011,Friday
6258,2011-09-23,Winter,0,9,7,0,5,1,3,21.14,0.5455,0.94,8.9981,14,240,254,20.003,94.0,2011,Friday
6259,2011-09-23,Winter,0,9,8,0,5,1,3,21.14,0.5455,0.94,8.9981,20,297,317,20.003,94.0,2011,Friday
6260,2011-09-23,Winter,0,9,9,0,5,1,3,21.14,0.5152,1.0,8.9981,3,108,111,18.0032,100.0,2011,Friday
6261,2011-09-23,Winter,0,9,10,0,5,1,3,21.14,0.5152,1.0,7.0015,7,28,35,18.0032,100.0,2011,Friday
6262,2011-09-23,Winter,0,9,11,0,5,1,3,21.14,0.5152,1.0,7.0015,1,20,21,18.0032,100.0,2011,Friday
6263,2011-09-23,Winter,0,9,12,0,5,1,3,21.14,0.5455,0.94,7.0015,1,28,29,20.003,94.0,2011,Friday
6264,2011-09-23,Winter,0,9,13,0,5,1,3,20.2,0.5,1.0,6.0032,7,27,34,17.0,100.0,2011,Friday
6265,2011-09-23,Winter,0,9,14,0,5,1,3,20.2,0.5,1.0,6.0032,3,21,24,17.0,100.0,2011,Friday
6266,2011-09-23,Winter,0,9,15,0,5,1,3,21.14,0.5455,0.94,7.0015,9,52,61,20.003,94.0,2011,Friday
6267,2011-09-23,Winter,0,9,16,0,5,1,3,21.14,0.5455,0.94,0.0,5,51,56,20.003,94.0,2011,Friday
