id,dteday,season,yr,mnth,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total,felt_temp,humidity,year,weather
8646,2012-01-01,Spring,1,1,0,0,0,0,1,8.919999999999998,0.3788,0.66,0.0,5,43,48,9.000800000000002,66.0,2012,Sunday
8647,2012-01-01,Spring,1,1,1,0,0,0,1,8.919999999999998,0.3485,0.66,8.9981,15,78,93,7.000999999999998,66.0,2012,Sunday
8648,2012-01-01,Spring,1,1,2,0,0,0,1,7.040000000000001,0.3485,0.76,0.0,16,59,75,7.000999999999998,76.0,2012,Sunday
8649,2012-01-01,Spring,1,1,3,0,0,0,1,6.1,0.3333,0.81,0.0,11,41,52,5.997799999999998,81.0,2012,Sunday
8650,2012-01-01,Spring,1,1,4,0,0,0,1,5.160000000000002,0.303,0.81,6.0032,0,8,8,3.998000000000001,81.0,2012,Sunday
8651,2012-01-01,Spring,1,1,5,0,0,0,1,5.160000000000002,0.2879,0.81,7.0015,0,5,5,3.0014000000000003,81.0,2012,Sunday
8652,2012-01-01,Spring,1,1,6,0,0,0,1,4.220000000000001,0.2727,0.93,8.9981,1,1,2,1.9982000000000006,93.0,2012,Sunday
8653,2012-01-01,Spring,1,1,7,0,0,0,1,4.220000000000001,0.2576,0.93,11.0014,1,6,7,1.0015999999999998,93.0,2012,Sunday
8654,2012-01-01,Spring,1,1,8,0,0,0,1,4.220000000000001,0.2727,0.87,7.0015,4,10,14,1.9982000000000006,87.0,2012,Sunday
8655,2012-01-01,Spring,1,1,9,0,0,0,1,4.220000000000001,0.2727,0.93,7.0015,13,27,40,1.9982000000000006,93.0,2012,Sunday
8656,2012-01-01,Spring,1,1,10,0,0,0,1,6.1,0.3182,0.81,7.0015,18,52,70,5.001199999999997,81.0,2012,Sunday
8657,2012-01-01,Spring,1,1,11,0,0,0,1,7.98,0.3333,0.76,8.9981,40,98,138,5.997799999999998,76.0,2012,Sunday
8658,2012-01-01,Spring,1,1,12,0,0,0,1,10.8,0.4091,0.62,19.0012,58,143,201,11.000600000000002,62.0,2012,Sunday
8659,2012-01-01,Spring,1,1,13,0,0,0,1,11.739999999999998,0.4242,0.58,19.0012,82,141,223,11.997200000000003,57.99999999999999,2012,Sunday
8660,2012-01-01,Spring,1,1,14,0,0,0,1,12.68,0.4394,0.54,19.999499999999998,120,147,267,13.000399999999999,54.0,2012,Sunday
8661,2012-01-01,Spring,1,1,15,0,0,0,1,13.620000000000001,0.4545,0.51,19.999499999999998,101,164,265,13.997,51.0,2012,Sunday
8662,2012-01-01,Spring,1,1,16,0,0,0,2,12.68,0.4394,0.54,19.999499999999998,68,147,215,13.000399999999999,54.0,2012,Sunday
8663,2012-01-01,Spring,1,1,17,0,0,0,2,14.559999999999999,0.4697,0.48,11.0014,36,75,111,15.0002,48.0,2012,Sunday
8664,2012-01-01,Spring,1,1,18,0,0,0,3,13.620000000000001,0.4545,0.59,16.997899999999998,25,81,106,13.997,59.0,2012,Sunday
8665,2012-01-01,Spring,1,1,19,0,0,0,3,11.739999999999998,0.4242,0.67,26.0027,20,85,105,11.997200000000003,67.0,2012,Sunday
8666,2012-01-01,Spring,1,1,20,0,0,0,2,12.68,0.4394,0.62,19.999499999999998,25,58,83,13.000399999999999,62.0,2012,Sunday
8667,2012-01-01,Spring,1,1,21,0,0,0,2,12.68,0.4394,0.67,16.997899999999998,10,61,71,13.000399999999999,67.0,2012,Sunday
8668,2012-01-01,Spring,1,1,22,0,0,0,1,13.620000000000001,0.4545,0.55,27.999299999999998,13,53,66,13.997,55.00000000000001,2012,Sunday
8669,2012-01-01,Spring,1,1,23,0,0,0,1,12.68,0.4394,0.51,19.999499999999998,4,25,29,13.000399999999999,51.0,2012,Sunday
8670,2012-01-02,Spring,1,1,0,1,1,0,1,10.8,0.4091,0.4,31.0009,8,31,39,11.000600000000002,40.0,2012,Monday
8671,2012-01-02,Spring,1,1,1,1,1,0,1,8.919999999999998,0.3333,0.43,27.999299999999998,1,11,12,5.997799999999998,43.0,2012,Monday
8672,2012-01-02,Spring,1,1,2,1,1,0,1,8.919999999999998,0.3182,0.34,30.002599999999997,1,6,7,5.001199999999997,34.0,2012,Monday
8673,2012-01-02,Spring,1,1,4,1,1,0,1,5.160000000000002,0.2576,0.45,22.0028,0,4,4,1.0015999999999998,45.0,2012,Monday
8674,2012-01-02,Spring,1,1,5,1,1,0,1,5.160000000000002,0.2576,0.45,22.0028,1,3,4,1.0015999999999998,45.0,2012,Monday
8675,2012-01-02,Spring,1,1,6,1,1,0,1,4.220000000000001,0.2273,0.41,26.0027,0,14,14,-0.9982000000000006,41.0,2012,Monday
8676,2012-01-02,Spring,1,1,7,1,1,0,1,3.2799999999999994,0.2121,0.32,26.0027,0,16,16,-2.0013999999999985,32.0,2012,Monday
8677,2012-01-02,Spring,1,1,8,1,1,0,1,3.2799999999999994,0.2273,0.35,16.997899999999998,2,51,53,-0.9982000000000006,35.0,2012,Monday
8678,2012-01-02,Spring,1,1,9,1,1,0,1,3.2799999999999994,0.2576,0.35,0.0,15,53,68,1.0015999999999998,35.0,2012,Monday
8679,2012-01-02,Spring,1,1,10,1,1,0,1,4.220000000000001,0.2424,0.35,19.0012,20,89,109,-0.0015999999999998238,35.0,2012,Monday
8680,2012-01-02,Spring,1,1,11,1,1,0,1,4.220000000000001,0.2121,0.35,32.9975,33,142,175,-2.0013999999999985,35.0,2012,Monday
8681,2012-01-02,Spring,1,1,12,1,1,0,1,5.160000000000002,0.2727,0.36,16.997899999999998,41,161,202,1.9982000000000006,36.0,2012,Monday
8682,2012-01-02,Spring,1,1,13,1,1,0,1,6.1,0.2727,0.36,19.999499999999998,26,150,176,1.9982000000000006,36.0,2012,Monday
8683,2012-01-02,Spring,1,1,14,1,1,0,1,6.1,0.2727,0.36,27.999299999999998,10,141,151,1.9982000000000006,36.0,2012,Monday
8684,2012-01-02,Spring,1,1,15,1,1,0,1,5.160000000000002,0.2424,0.38,30.002599999999997,29,139,168,-0.0015999999999998238,38.0,2012,Monday
8685,2012-01-02,Spring,1,1,16,1,1,0,1,4.220000000000001,0.2273,0.35,27.999299999999998,10,144,154,-0.9982000000000006,35.0,2012,Monday
8686,2012-01-02,Spring,1,1,17,1,1,0,1,4.220000000000001,0.2273,0.35,26.0027,17,136,153,-0.9982000000000006,35.0,2012,Monday
8687,2012-01-02,Spring,1,1,18,1,1,0,1,4.220000000000001,0.2424,0.33,16.997899999999998,13,113,126,-0.0015999999999998238,33.0,2012,Monday
8688,2012-01-02,Spring,1,1,19,1,1,0,1,3.2799999999999994,0.2273,0.38,15.001299999999999,4,89,93,-0.9982000000000006,38.0,2012,Monday
8689,2012-01-02,Spring,1,1,20,1,1,0,1,3.2799999999999994,0.2273,0.41,15.001299999999999,5,83,88,-0.9982000000000006,41.0,2012,Monday
8690,2012-01-02,Spring,1,1,21,1,1,0,2,3.2799999999999994,0.2121,0.41,22.0028,3,63,66,-2.0013999999999985,41.0,2012,Monday
8691,2012-01-02,Spring,1,1,22,1,1,0,2,2.34,0.2121,0.44,19.0012,3,36,39,-2.0013999999999985,44.0,2012,Monday
8692,2012-01-02,Spring,1,1,23,1,1,0,1,2.34,0.2121,0.44,16.997899999999998,2,32,34,-2.0013999999999985,44.0,2012,Monday
8693,2012-01-03,Spring,1,1,0,0,2,1,1,1.4000000000000004,0.197,0.51,16.997899999999998,0,13,13,-2.9979999999999993,51.0,2012,Tuesday
8694,2012-01-03,Spring,1,1,1,0,2,1,1,0.4599999999999991,0.1818,0.55,15.001299999999999,1,5,6,-4.001200000000001,55.00000000000001,2012,Tuesday
8695,2012-01-03,Spring,1,1,2,0,2,1,1,0.4599999999999991,0.1667,0.51,16.997899999999998,0,3,3,-4.997800000000002,51.0,2012,Tuesday
8696,2012-01-03,Spring,1,1,3,0,2,1,1,-0.47999999999999954,0.1364,0.55,19.0012,0,2,2,-6.9976,55.00000000000001,2012,Tuesday
8697,2012-01-03,Spring,1,1,4,0,2,1,1,-0.47999999999999954,0.1515,0.55,16.997899999999998,0,5,5,-6.0009999999999994,55.00000000000001,2012,Tuesday
8698,2012-01-03,Spring,1,1,5,0,2,1,1,-1.419999999999999,0.1364,0.54,12.998000000000001,0,12,12,-6.9976,54.0,2012,Tuesday
8699,2012-01-03,Spring,1,1,6,0,2,1,1,-1.419999999999999,0.1212,0.59,19.0012,4,81,85,-8.0008,59.0,2012,Tuesday
8700,2012-01-03,Spring,1,1,7,0,2,1,1,-1.419999999999999,0.1212,0.59,16.997899999999998,2,168,170,-8.0008,59.0,2012,Tuesday
8701,2012-01-03,Spring,1,1,8,0,2,1,1,-0.47999999999999954,0.1364,0.55,19.0012,5,349,354,-6.9976,55.00000000000001,2012,Tuesday
8702,2012-01-03,Spring,1,1,9,0,2,1,1,-0.47999999999999954,0.1364,0.5,19.0012,8,145,153,-6.9976,50.0,2012,Tuesday
8703,2012-01-03,Spring,1,1,10,0,2,1,1,-0.47999999999999954,0.1212,0.47,31.0009,5,55,60,-8.0008,47.0,2012,Tuesday
8704,2012-01-03,Spring,1,1,11,0,2,1,1,0.4599999999999991,0.1364,0.37,35.0008,12,63,75,-6.9976,37.0,2012,Tuesday
8705,2012-01-03,Spring,1,1,12,0,2,1,1,0.4599999999999991,0.1364,0.37,35.0008,4,70,74,-6.9976,37.0,2012,Tuesday
8706,2012-01-03,Spring,1,1,13,0,2,1,1,0.4599999999999991,0.1212,0.34,43.9989,5,68,73,-8.0008,34.0,2012,Tuesday
8707,2012-01-03,Spring,1,1,14,0,2,1,1,-0.47999999999999954,0.1212,0.43,35.0008,7,72,79,-8.0008,43.0,2012,Tuesday
8708,2012-01-03,Spring,1,1,15,0,2,1,1,-0.47999999999999954,0.1212,0.37,27.999299999999998,9,68,77,-8.0008,37.0,2012,Tuesday
8709,2012-01-03,Spring,1,1,16,0,2,1,1,-1.419999999999999,0.0909,0.39,39.000699999999995,7,129,136,-10.0006,39.0,2012,Tuesday
8710,2012-01-03,Spring,1,1,17,0,2,1,1,-1.419999999999999,0.1061,0.26,31.0009,4,241,245,-8.997399999999999,26.0,2012,Tuesday
8711,2012-01-03,Spring,1,1,18,0,2,1,1,-1.419999999999999,0.0909,0.26,35.0008,10,214,224,-10.0006,26.0,2012,Tuesday
8712,2012-01-03,Spring,1,1,19,0,2,1,1,-2.3600000000000003,0.0909,0.28,27.999299999999998,4,152,156,-10.0006,28.000000000000004,2012,Tuesday
8713,2012-01-03,Spring,1,1,20,0,2,1,1,-2.3600000000000003,0.1212,0.33,16.997899999999998,0,115,115,-8.0008,33.0,2012,Tuesday
8714,2012-01-03,Spring,1,1,21,0,2,1,1,-3.3,0.1061,0.36,15.001299999999999,2,66,68,-8.997399999999999,36.0,2012,Tuesday
8715,2012-01-03,Spring,1,1,22,0,2,1,1,-3.3,0.1061,0.46,16.997899999999998,0,33,33,-8.997399999999999,46.0,2012,Tuesday
8716,2012-01-03,Spring,1,1,23,0,2,1,1,-3.3,0.0758,0.46,26.0027,0,18,18,-10.9972,46.0,2012,Tuesday
8717,2012-01-04,Spring,1,1,0,0,3,1,1,-4.24,0.0606,0.42,22.0028,0,9,9,-12.000399999999999,42.0,2012,Wednesday
8718,2012-01-04,Spring,1,1,1,0,3,1,1,-6.12,0.0303,0.38,19.999499999999998,0,3,3,-14.0002,38.0,2012,Wednesday
8719,2012-01-04,Spring,1,1,2,0,3,1,1,-7.06,0.0152,0.34,19.0012,0,1,1,-14.9968,34.0,2012,Wednesday
8720,2012-01-04,Spring,1,1,3,0,3,1,1,-7.06,0.0152,0.34,19.0012,0,1,1,-14.9968,34.0,2012,Wednesday
8721,2012-01-04,Spring,1,1,4,0,3,1,1,-7.06,0.0455,0.41,12.998000000000001,0,2,2,-12.997,41.0,2012,Wednesday
